"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"677","RAB15",3.34898730981508,6.08572606943591,4.09776823372381,7.64807511553615,5.25722249335161,8.01410265365685,6.62001026602544,6.05043857976245,4.09776823372381,6.6107249228545,6.45616793230906,4.09776823372381,4.53803288418828,5.22380840391321,8.845200982427,4.70535163823768,4.20212962326316,4.09776823372381
"678","GNAS",3.41469030005551,7.86137928714713,4.14024489978722,6.24133414876903,6.73085041813005,4.14024489978722,8.89054629390962,6.4015839484078,4.14024489978722,6.02834717665882,8.13157654879632,13.6394337975421,5.44972682510751,2.67900696341588,4.14024489978722,2.98414988758191,0.866393526499428,4.14024489978722
"679","CAPZA1",3.4751992179514,6.2627352285623,34.6482997309909,4.14812366479291,3.61390428640133,9.60278698844872,5.00276798830458,4.06796487999118,0.15079977438677,3.94116314583536,4.60559824879626,0.15079977438677,7.20915706259925,4.85743771171008,0.15079977438677,5.07055441020522,5.13410235698948,0.15079977438677
"680","CCAR1",7.28668,9.32107,0,8.97679,9.14991,0,7.28681,8.40328,0,8.53398,9.67241,0,7.24826,8.87473,0,8.62176,6.62432,0
"681","FERMT3",5.19191124863266,8.02011239644356,4.77745623007793,4.9427656266325,4.02661409491459,4.77745623007793,5.90760916247678,6.90319178017403,4.77745623007793,6.61143073139876,5.94552235953769,8.20230067125254,4.21951940679664,4.60268127015277,4.77745623007793,7.12780699521546,4.64915241646469,4.77745623007793
"682","RECQL",5.27952954132412,3.98438854575942,4.72066010606367,2.80839676181223,8.11815663734016,8.69264305788294,5.15726718801756,6.35688245384172,4.72066010606367,6.90955529502788,5.67954099115533,4.72066010606367,7.59586416673882,4.03297751227068,4.72066010606367,5.95553574030148,6.05724326963804,4.72066010606367
"683","PSMD2",7.96109,9.42689,0,7.0207,10.3548,0,8.19113,7.86196,0,7.0837,8.5828,0,8.29552,6.51524,0,10.4488,8.25739,0
"684","ARL2",4.23044629715895,4.47455074130642,46.6639031218873,4.2241220612665,4.8394337772305,0.302877159030119,5.23379590367273,6.35057745641179,0.302877159030119,4.58297453728542,5.47209747904329,0.302877159030119,6.13455235015332,6.57697963369056,0.302877159030119,3.14449833701946,-0.568672616356675,0.302877159030119
"685","PSMB3",8.76146,7.63254,0,9.526,7.08261,0,9.29249,8.90688,0,7.41403,9.75481,0,8.30659,8.21992,0,7.17208,7.9306,0
"686","LGALS1",10.3357,8.94671,0,6.6625,8.32062,0,11.8713,10.1367,0,6.54141,7.10394,0,7.74034,9.39957,0,7.02668,5.91457,0
"687","TNPO3",7.30779230813516,5.77132207077037,-0.00793102956606617,0.051942910717238,4.70754020377259,14.8313447178968,6.65279601581902,5.05331225371774,-0.00793102956606617,2.02042931120674,2.81928126570502,-0.00793102956606617,6.80101572005038,5.14142527840478,8.15603869890651,7.22105250989899,6.64790352250346,18.2041738737319
